Metric,Method_1,Method_2,Mean_1,Mean_2,Mean_Diff,P_Value,Significance,Better_Method,Class
Accuracy,BASELINE,SMOTE,0.9444444444444445,0.9502923976608187,0.005847953216374213,1.0,ns,SMOTE,Overall
Accuracy,BASELINE,RUS,0.9444444444444445,0.9502923976608187,0.005847953216374213,1.0,ns,RUS,Overall
Accuracy,SMOTE,RUS,0.9502923976608187,0.9502923976608187,0.0,1.0,ns,SMOTE,Overall
F1_Score,BASELINE,SMOTE,0.9447694357819479,0.9505429617268554,0.005773525944907432,0.75,ns,SMOTE,Overall
F1_Score,BASELINE,RUS,0.9447694357819479,0.9504864265340313,0.005716990752083317,1.0,ns,RUS,Overall
F1_Score,SMOTE,RUS,0.9505429617268554,0.9504864265340313,-5.653519282411423e-05,1.0,ns,SMOTE,Overall
ROC_AUC,BASELINE,SMOTE,0.9705687830687831,0.9754739858906526,0.004905202821869459,0.5,ns,SMOTE,Overall
ROC_AUC,BASELINE,RUS,0.9705687830687831,0.9784501763668431,0.007881393298059924,1.0,ns,RUS,Overall
ROC_AUC,SMOTE,RUS,0.9754739858906526,0.9784501763668431,0.0029761904761904656,1.0,ns,RUS,Overall
Recall_Malignant,BASELINE,SMOTE,0.9444444444444443,0.9603174603174603,0.01587301587301604,1.0,ns,SMOTE,Malignant
Recall_Malignant,BASELINE,RUS,0.9444444444444443,0.9523809523809524,0.00793650793650813,1.0,ns,RUS,Malignant
Recall_Malignant,SMOTE,RUS,0.9603174603174603,0.9523809523809524,-0.007936507936507908,1.0,ns,SMOTE,Malignant
F1_Malignant,BASELINE,SMOTE,0.9270554663813092,0.934317870911578,0.007262404530268829,0.75,ns,SMOTE,Malignant
F1_Malignant,BASELINE,RUS,0.9270554663813092,0.9339426672206067,0.006887200839297503,1.0,ns,RUS,Malignant
F1_Malignant,SMOTE,RUS,0.934317870911578,0.9339426672206067,-0.00037520369097132633,1.0,ns,SMOTE,Malignant
Recall_Benign,BASELINE,SMOTE,0.9444444444444445,0.9444444444444443,-2.220446049250313e-16,1.0,ns,BASELINE,Benign
Recall_Benign,BASELINE,RUS,0.9444444444444445,0.9490740740740741,0.004629629629629539,1.0,ns,RUS,Benign
Recall_Benign,SMOTE,RUS,0.9444444444444443,0.9490740740740741,0.004629629629629761,1.0,ns,RUS,Benign
F1_Benign,BASELINE,SMOTE,0.9551025845989876,0.9600075980357671,0.004905013436779515,1.0,ns,SMOTE,Benign
F1_Benign,BASELINE,RUS,0.9551025845989876,0.9601369528001955,0.0050343682012079505,1.0,ns,RUS,Benign
F1_Benign,SMOTE,RUS,0.9600075980357671,0.9601369528001955,0.0001293547644284354,1.0,ns,RUS,Benign
